Scientific name,Scientific name modif,English,Chinese,Chinese (Traditional),Czech,Danish,Dutch,Estonian,Finnish,French,French_modif,German,Hungarian,Italian,Japanese,Lithuanian,Norwegian,Polish,Portuguese,Russian,Slovak,Spanish,Swedish
Podoces biddulphi,Podoces biddulphi,Biddulph's Ground Jay,????,????,strakule tarimská,Sinkiangl?bekrage,Chinese Steppegaai,uiguuri maanäär,sinkianginaavikkonärhi,Podoce de Biddulph,Podoce de Biddulph,Weißschwanzhäher,fehérfarkú pusztaiszajkó,Ghiandaia terragnola dello Sinkiang,?????????,Baltauodegis saksa?linis k?k?tas,Hvithalel?pekr?ke,sójeczka bia?osterna,0,??????????? ??????????? ?????,d?id?itka bielochvostá,Arrendajo Terrestre de Xinjiang,Biddulphs ökenskrika
Podoces panderi,Podoces panderi,Pander's Ground Jay,????,????,strakule saxaulová,Turkestanl?bekrage,Turkestaanse Steppegaai,saksauuli-maanäär,kaspianaavikkonärhi,Podoce de Pander,Podoce de Pander,Saxaulhäher,Szaxaul-szajkó,Ghiandaia terragnola del Turkestan,??????,Karakuminis saksa?linis k?k?tas,Turkestanl?pekr?ke,sójeczka pustynna,0,??????????? ?????,d?id?itka sivochrbtá,Arrendajo Terrestre del Turquestán,Panders ökenskrika
Podoces pleskei,Podoces pleskei,Pleske's Ground Jay,????,????,strakule plavá,Iranl?bekrage,Perzische Steppegaai,pärsia maanäär,persianaavikkonärhi,Podoce de Pleske,Podoce de Pleske,Pleskehäher,Pleske pusztaiszajkó,Ghiandaia terragnola dell'Iran,?????????,Persinis saksa?linis k?k?tas,Iranl?pekr?ke,sójeczka perska,0,?????????? ??????????? ?????,d?id?itka iránska,Arrendajo Terrestre Iraní,Pleskes ökenskrika
Nucifraga columbiana,Nucifraga columbiana,Clark's Nutcracker,????,???????,o?e?ník americk?,Amerikansk N?ddekrige,Grijze Notenkraker,hallmänsak,amerikanhakki,Cassenoix d'Amérique,Cassenoix d'Amérique,Kiefernhäher,amerikai feny?szajkó,Nocciolaia di Clark,?????????,Amerikin? rie?utin?,Konglekr?ke,orzechówka popielata,Quebra-nozes-de-clark,?????????????????? ????????,ore?nica borovicová,Cascanueces Americano,Gr? nötkr?ka
Nucifraga caryocatactes,Nucifraga caryocatactes,Spotted Nutcracker,??,??,o?e?ník kropenat?,N?ddekrige,Notenkraker,mänsak,pähkinähakki,Cassenoix moucheté,Cassenoix moucheté,Tannenhäher,feny?szajkó,Nocciolaia,?????,Paprastoji rie?utin?,N?ttekr?ke,orzechówka (zwyczajna),Quebra-nozes,????????,ore?nica perlavá,Cascanueces Común,Nötkr?ka
Nucifraga multipunctata,Nucifraga multipunctata,Large-spotted Nutcracker,????,????,0,Himalayan?ddekrige,Himalayanotenkraker,ka?miiri mänsak,0,Cassenoix à grandes taches,Cassenoix à grandes taches,Himalajahäher,0,0,0,0,Kashmirn?ttekr?ke,orzechówka plamista,0,0,ore?nica ka?mírska,Cascanueces del Himalaya,0
Pyrrhocorax pyrrhocorax,Pyrrhocorax pyrrhocorax,Red-billed Chough,????,????,kav?e ?ervenozobé,Alpekrage,Alpenkraai,kaljuhakk,alppivaris,Crave à bec rouge,Crave à bec rouge,Alpenkrähe,havasi varjú,Gracchio corallino,???????,Raudonsnap? alpin? kuosa,Alpekr?ke,wro?czyk (zwyczajny),Gralha-de-bico-vermelho,???????,?avka ?ervenozobá,Chova Piquirroja,Alpkr?ka
Pyrrhocorax graculus,Pyrrhocorax graculus,Alpine Chough,????,????,kav?e ?lutozobé,Alpeallike,Alpenkauw,mägihakk,alppinaakka,Chocard à bec jaune,Chocard à bec jaune,Alpendohle,havasi csóka,Gracchio alpino,??????,Geltonsnap? alpin? kuosa,Alpekaie,wieszczek,Gralha-de-bico-amarelo,?????????? ?????,?avka ?ltozobá,Chova Piquigualda,Alpkaja
Ptilostomus afer,Ptilostomus afer,Piapiac,???,???,straka ostroocasá,Pia-piak,Piapiac,savanniharakas (piapiak),paimenharakka,Piapiac africain,Piapiac africain,Spitzschwanzelster,pálmaszarka,Piapiac,?????????,Juodoji ?arka,Svartskj?re,kruczek,Pega-africana,?????? ??????,straka dobyt?ia,Piapiac,Piapiak
Coloeus monedula,Corvus monedula,Western Jackdaw,??,????????,kavka obecná,Allike,Kauw,hakk,naakka,Choucas des tours,Choucas des tours,Dohle,csóka,Taccola,?????????,Kuosa,Kaie,kawka (zwyczajna),Gralha-de-nuca-cinzenta,?????,kavka tmavá,Grajilla Occidental,Kaja
Coloeus dauuricus,Corvus dauuricus,Daurian Jackdaw,?????,???????????,kavka v?chodní,Sibirisk Allike,Daurische Kauw,idahakk,idännaakka,Choucas de Daourie,Choucas de Daourie,Elsterdohle,örvös csóka,Taccola della Dauria,???????,Da?rin? kuosa,Mongolkaie,kawka srokata,Gralha-dáurica,???????? ?????,kavka strakatá,Grajilla Oriental,Klippkaja
Corvus splendens,Corvus splendens,House Crow,??,???,vrána domácí,Huskrage,Huiskraai,?uevares,intianvaris,Corbeau familier,Corbeau familier,Glanzkrähe,indiai varjú,Cornacchia delle case,?????,Namin? varna,Huskr?ke,wrona orientalna,Gralha-indiana,????????? ?????,vrana lesklá,Cuervo Indio,Huskr?ka
