Scientific name,Scientific name modif,English,Chinese,Chinese (Traditional),Czech,Danish,Dutch,Estonian,Finnish,French,French_modif,German,Hungarian,Italian,Japanese,Lithuanian,Norwegian,Polish,Portuguese,Russian,Slovak,Spanish,Swedish
Tinamus tao,Tinamus tao,Grey Tinamou,?(??),?(??),tinama tao,Gr? Tinamu,Grijze Tinamoe,halltinamu,harmaatinami,Tinamou tao,Tinamou tao,Taotinamu,szürke tinamu,Tinamo grigio,??????????,?ilasis tinamas,Taotinamu,kusacz szary,Azulona,???,tinama sivá,Tinamú tao,gr? tinamo
Tinamus solitarius,Tinamus solitarius,Solitary Tinamou,?(??),?(??),tinama samotá?ská,Olivengr? Tinamu,Kluizenaarstinamoe,eraktinamu,erakkotinami,Tinamou solitaire,Tinamou solitaire,Grausteißtinamu,remetetinamu,Tinamo solitario,????????,Tinamas atsiskyr?lis,Eremittinamu,kusacz samotny,Macuco,??????-?????????,tinama samotárska,Tinamú macuco,solitärtinamo
Tinamus osgoodi,Tinamus osgoodi,Black Tinamou,?(??),?(??),tinama ?erná,Gr?sort Tinamu,Zwarte Tinamoe,musttinamu,mustatinami,Tinamou noir,Tinamou noir,Schwarztinamu,fekete tinamu,Tinamo nero,????????,Juodasis tinamas,Svarttinamu,kusacz czarny,Macuco-preto,?????? ??????,tinama ?ierna,Tinamú negro,svart tinamo
Tinamus major,Tinamus major,Great Tinamou,?(??),?(??)?,tinama v?t?í,Stor Tinamu,Grote Tinamoe,suurtinamu,isotinami,Grand Tinamou,Grand Tinamou,Großtinamu,nagy tinamu,Tinamo grosso,????????,Didysis tinamas,Stortinamu,kusacz du¿y,Inhambu-de-cabeça-vermelha,??????? ??????,tinama ve?ká,Tinamú oliváceo,större tinamo
Tinamus guttatus,Tinamus guttatus,White-throated Tinamou,??(??),??(??)?,tinama te?kovaná,Gr?isset Tinamu,Witkeeltinamoe,helmestinamu,helmitinami,Tinamou à gorge blanche,Tinamou à gorge blanche,Weißkehltinamu,fehértorkú tinamu,Tinamo golabianca,??????????,Baltagurklis tinamas,Perletinamu,kusacz kropkowany,Inhambu-galinha,?????????? ??????,tinama bielohrdlá,Tinamú moteado,vitstrupig tinamo
Nothocercus bonapartei,Nothocercus bonapartei,Highland Tinamou,???(??),???(??)?,tinama horská,Bjergskovstinamu,Bergtinamoe,bambusetinamu,vuoritinami,Tinamou de Bonaparte,Tinamou de Bonaparte,Bergtinamu,Bonaparte-tinamu,Tinamo delle alture,?????????,Bonaparto notocerkas,Bambustinamu,kusacz górski,Inhambu-serrano,?????? ??????????,tinama horská,Tinamú serrano,höglandstinamo
Nothocercus julius,Nothocercus julius,Tawny-breasted Tinamou,???(??),???(??)?,tinama bronzovoprsá,R?dhovedet Tinamu,Roodkoptinamoe,välutinamu,keltarintatinami,Tinamou à tête rousse,Tinamou à tête rousse,Gelbbrusttinamu,0,Tinamo pettofulvo,??????????,Juliaus notocerkas,Brunbrysttinamu,kusacz rdzawog?owy,Inhambu-de-peito-pardo,??????????? ??????????,tinama pralesná,Tinamú cabecirrojo,brunbröstad tinamo
Nothocercus nigrocapillus,Nothocercus nigrocapillus,Hooded Tinamou,???(??),??(??)?,tinama tmavohlavá,H?ttetinamu,Zwartkaptinamoe,karbustinamu,hupputinami,Tinamou à capuchon,Tinamou à capuchon,Kapuzentinamu,0,Tinamo monaco,?????????,Tamsiagalvis notocerkas,Blyhettetinamu,kusacz ciemnog?owy,Inhambu-de-capuz,????????????? ??????????,tinama kapuc?ová,Tinamú cabecinegro,kamtinamo
Crypturellus berlepschi,Crypturellus berlepschi,Berlepsch's Tinamou,???(??),????(??),tinama Berlepschova,Sorttinamu,Berlepsch' Tinamoe,n?gi-metstinamu,nokitinami,Tinamou de Berlepsch,Tinamou de Berlepsch,Berlepschtinamu,Berlepsch-tinamu,Tinamo di Berlepsch,??????????,Berlep?o tinamas,Sottinamu,kusacz brunatny,Inhambu-tiç?o,????????? ????????????,tinama sadzová,Tinamú tizón,sottinamo
Crypturellus cinereus,Crypturellus cinereus,Cinereous Tinamou,??(??),??(??)?,tinama podrostní,Asketinamu,Grauwe Tinamoe,t?mmu-metstinamu,punapäätinami,Tinamou cendré,Tinamou cendré,Grautinamu,0,Tinamo cenerino,????????,Peleninis tinamas,Gr?tinamu,kusacz popielaty,Inhambu-preto,????? ????????????,tinama popolavá,Tinamú sombrío,askgr? tinamo
Crypturellus soui,Crypturellus soui,Little Tinamou,??(??),??(??)?,tinama malá,Lille Tinamu,Kleine Tinamoe,väike-metstinamu,pikkutinami,Tinamou soui,Tinamou soui,Brauntinamu,apró tinamu,Tinamo piccolo,???????,Ma?asis tinamas,Sm?tinamu,kusacz czarnog?owy,Tururim,?????????? ????????????,tinama malá,Tinamú chico,mindre tinamo
Crypturellus ptaritepui,Crypturellus ptaritepui,Tepui Tinamou,???(??),???(??)?,tinama tepuová,Tepuítinamu,Tepuitinamoe,tepui-metstinamu,venezuelantinami,Tinamou des tépuis,Tinamou des tépuis,Tepuitinamou,0,Tinamo dei tepui,?????????,Venesuelinis tinamas,Tepuitinamu,kusacz bia?ooki,Inhambu-do-tepui,????????????? ????????????,tinama bielooká,Tinamú de tepuy,tepuítinamo
Crypturellus obsoletus,Crypturellus obsoletus,Brown Tinamou,??(??),??(??)?,tinama hn?dá,Brun Tinamu,Bruine Tinamoe,pruun-metstinamu,ruskotinami,Tinamou brun,Tinamou brun,Kastanientinamu,0,Tinamo bruno,??????????,Ka?toninis tinamas,Bruntinamu,kusacz kasztanowaty,Inhambuguaçu,?????????? ????????????,tinama ga?tanová,Tinamú café,brun tinamo
Crypturellus undulatus,Crypturellus undulatus,Undulated Tinamou,???(??),???(??)?,tinama vlnkovaná,B?lgetinamu,Marmertinamoe,vile-metstinamu,huhuilijatinami,Tinamou vermiculé,Tinamou vermiculé,Wellentinamu,hullámos tinamu,Tinamo vermicolato,??????????,Raibasis tinamas,Amazontinamu,kusacz falisty,Jaó,????????? ????????????,tinama vlnkovaná,Tinamú ondeado,amazontinamo
Crypturellus transfasciatus,Crypturellus transfasciatus,Pale-browed Tinamou,???(??),???(??)?,tinama sv?tlebrvá,Lysbrynet Tinamu,Wenkbrauwtinamoe,valgekulm-metstinamu,valkokulmatinami,Tinamou à grands sourcils,Tinamou à grands sourcils,Brauentinamu,0,Tinamo dai sopraccigli,??????????,Baltabruvis tinamas,Hvitbryntinamu,kusacz jasnobrewy,Inhambu-de-sobrancelhas-claras,??????? ????????????,tinama da??ová,Tinamú cejudo,ljusbrynad tinamo
Crypturellus strigulosus,Crypturellus strigulosus,Brazilian Tinamou,???(??),???(??)?,tinama brazilská,Brasiliansk Tinamu,Braziliaanse Tinamoe,punakael-metstinamu,brasiliantinami,Tinamou oariana,Tinamou oariana,Rotkehltinamu,brazil tinamu,Tinamo del Brasile,??????????,Brazilinis tinamas,Brasiltinamu,kusacz rdzawoszyi,Inhambu-relógio,???????????? ????????????,tinama ní?inná,Tinamú brasileño,brasiliansk tinamo
Crypturellus duidae,Crypturellus duidae,Grey-legged Tinamou,???(??),???(??)?,tinama ?edonohá,Gr?benet Tinamu,Grijspoottinamoe,halljalg-metstinamu,harmaajalkatinami,Tinamou de Zimmer,Tinamou de Zimmer,Graufußtinamu,0,Tinamo zampegrigie,??????????,Pilkakojis tinamas,Gr?beintinamu,kusacz szaronogi,Inhambu-de-pé-cinza,????????? ????????????,tinama sivonohá,Tinamú patigrís,gr?bent tinamo
Crypturellus erythropus,Crypturellus erythropus,Red-legged Tinamou,???(??),???(??)?,tinama rudonohá,R?dbenet Tinamu,Roodpoottinamoe,punajalg-metstinamu,punajalkatinami,Tinamou à pieds rouges,Tinamou à pieds rouges,Rotfußtinamu,0,Tinamo zamperosse,??????????,Raudonkojis tinamas,R?dbeintinamu,kusacz czerwononogi,Inhambu-de-perna-vermelha,??????????? ????????????,tinama ?ervenonohá,Tinamú patirrojo,rödbent tinamo
Crypturellus noctivagus,Crypturellus noctivagus,Yellow-legged Tinamou,???(??),???(??)?,tinama ?lutonohá,Gulbenet Tinamu,Geelpoottinamoe,tanu-metstinamu,keltajalkatinami,Tinamou noctivague,Tinamou noctivague,Gelbfußtinamu,0,Tinamo zampegialle,?????????,Geltonkojis tinamas,Gulbeintinamu,kusacz ¿ó?tonogi,Jaó-do-sul,?????????? ????????????,tinama pásikavá,Tinamú patigualdo,gulbent tinamo
Crypturellus atrocapillus,Crypturellus atrocapillus,Black-capped Tinamou,???(??),???(??)?,tinama ?ernotemenná,Sodkronet Tinamu,Zwartkoptinamoe,tumekiird-metstinamu,nokipäätinami,Tinamou à calotte noire,Tinamou à calotte noire,Schwarzkappentinamu,0,Tinamo capinero,?????????,Juodakepuris tinamas,Svarthettetinamu,kusacz kapturowy,Inhambu-de-coroa-preta,??????????? ????????????,tinama ?iapo?katá,Tinamú capirotado,svarthättad tinamo
Crypturellus cinnamomeus,Crypturellus cinnamomeus,Thicket Tinamou,??(??),??(??)?,tinama sko?icová,Krattinamu,Struiktinamoe,p?hja-metstinamu,tiheikkötinami,Tinamou cannelle,Tinamou cannelle,Buschtinamu,0,Tinamo di boscaglia,????????,Kr?myninis tinamas,Krattinamu,kusacz cynamonowy,Inhambu-do-bosque,????????????? ????????????,tinama hú?tinová,Tinamú canelo,sn?rtinamo
Crypturellus boucardi,Crypturellus boucardi,Slaty-breasted Tinamou,???(??),???(??)?,tinama st?edoamerická,Gr?brystet Tinamu,Grijsborsttinamoe,kariibi metstinamu,huilutinami,Tinamou de Boucard,Tinamou de Boucard,Graukehltinamu,0,Tinamo pettoardesia,????????,Pilkakr?tis tinamas,Gr?brysttinamu,kusacz okopcony,Inhambu-de-peito-azulado,?????????? ????????????,tinama tmavoprsá,Tinamú pizarroso,skiffertinamo
Crypturellus kerriae,Crypturellus kerriae,Choco Tinamou,???(??),???(??)?,tinama kolumbijská,Chocótinamu,Chocótinamoe,kolumbia metstinamu,baudovuortentinami,Tinamou de Kerr,Tinamou de Kerr,Kerrtinamu,0,Tinamo del Chocò,??????????,Kero tinamas,Chocotinamu,kusacz ciemny,Inhambu-do-chocó,????????????-????,tinama tmavá,Tinamú del Chocó,chocótinamo
Crypturellus variegatus,Crypturellus variegatus,Variegated Tinamou,???(??),???(??)?,tinama pestrobarvá,Sorthovedet Tinamu,Bonte Tinamoe,mustpea-metstinamu,punarintatinami,Tinamou varié,Tinamou varié,Rotbrusttinamu,0,Tinamo variegato,??????????,Rusvakr?tis tinamas,Rusthalstinamu,kusacz pstry,Inhambu-anhangá,???????????? ????????????,tinama pestrá,Tinamú abigarrado,broktinamo
Crypturellus brevirostris,Crypturellus brevirostris,Rusty Tinamou,???(??),???(??)?,tinama pralesní,Rustfarvet Tinamu,Rosse Tinamoe,lammi-metstinamu,isohuittitinami,Tinamou rubigineux,Tinamou rubigineux,Rosttinamu,0,Tinamo rugginoso,??????????,Rusvasis tinamas,Jungeltinamu,kusacz rdzawy,Inhambu-carijó,????? ????????????,tinama hrdzavá,Tinamú herrumbroso,rosttinamo
Crypturellus bartletti,Crypturellus bartletti,Bartlett's Tinamou,???(??),????(??)?,tinama Bartlettova,Bartletts Tinamu,Bartletts Tinamoe,ruske-metstinamu,amazoniantinami,Tinamou de Bartlett,Tinamou de Bartlett,Bartlett-Tinamu,Bartlett-tinamu,Tinamo di Bartlett,?????????,Bartleto tinamas,Skogtinamu,kusacz p?owy,Inhambu-anhangaí,?????????? ????????????,tinama plavobruchá,Tinamú de Bartlett,bartlettinamo
Crypturellus parvirostris,Crypturellus parvirostris,Small-billed Tinamou,???(??),???(??)?,tinama malozobá,Kortn?bbet Tinamu,Kortsnaveltinamoe,lühinokk-metstinamu,nykerötinami,Tinamou à petit bec,Tinamou à petit bec,Kleinschnabeltinamu,kiscs?r? fürjtinamu,Tinamo beccopiccolo,?????????,Trumpasnapis tinamas,Kortnebbtinamu,kusacz krótkodzioby,Inhambu-chororó,????????????? ????????????,tinama malozobá,Tinamú piquicorto,kortnäbbad tinamo
Crypturellus casiquiare,Crypturellus casiquiare,Barred Tinamou,??(??),??(??)?,tinama páskovaná,B?ndtinamu,Gebandeerde Tinamoe,punapea-metstinamu,juovatinami,Tinamou barré,Tinamou barré,Bindentinamu,0,Tinamo barrato,?????????,Dry?asis tinamas,Stripetinamu,kusacz pr?¿kowany,Inhambu-listrado,????????? ????????????,tinama lesná,Tinamú del Casiquiare,strimmig tinamo
Crypturellus tataupa,Crypturellus tataupa,Tataupa Tinamou,???(??),????(??)?,tinama tataupa,Tataupatinamu,Tataupatinamoe,tataupa-metstinamu,huittitinami,Tinamou tataupa,Tinamou tataupa,Tataupatinamu,Tataupa-tinamu,Tinamo tataupa,????????,Tinamas tataupa,Tataupatinamu,kusacz ?niady,Inhambu-chint?,???????,tinama tataupa,Tinamú tataupá,tataupatinamo
Rhynchotus rufescens,Rhynchotus rufescens,Red-winged Tinamou,??(??),??(??)?,tinama inambu,Pampash?ne,Pampahoen,pampatinamu,pampatinami,Tinamou isabelle,Tinamou isabelle,Rotflügel-Pampahuhn,pampatinamu,Tinamo alirosse,??????????,Raudonsparnis tinamas,R?dvingetinamu,kusacz rdzawoskrzyd?y,Perdiz,???????????? ??????,inambu vlnkovan?,Tinamú alirrojo,rostvingad tinamo
Rhynchotus maculicollis,Rhynchotus maculicollis,Huayco Tinamou,??[??]??,????(??),0,Huaycotinamu,Huaycotinamoe,lääne-pampatinamu,0,Tinamou huayco,Tinamou huayco,Streifenhals-Pampahuhn,0,Tinamo degli huayco,????????????,0,Flekkhalstinamu,kusacz plamkoszyi,0,????? ??????,inambu horsk?,Tinamú huayco,huaycotinamo
Nothoprocta taczanowskii,Nothoprocta taczanowskii,Taczanowski's Tinamou,???(??),????(??)?,tinama Taczanowského,Stor Bjergtinamu,Taczanowski's Tinamoe,peruu mägitinamu,peruntinami,Tinamou de Taczanowski,Tinamou de Taczanowski,Taczanowskisteißhuhn,Taczanowski-tinamu,Tinamo di Taczanowski,??????????,Ta?anovskio stepinis tinamas,Perutinamu,kusacz Taczanowskiego,Inhambu-peruano-azulado,??????? ?????? ????????????,inambu pasienkov?,Tinamú de Taczanowski,Taczanowskis tinamo
Nothoprocta ornata,Nothoprocta ornata,Ornate Tinamou,???(??),????(??)?,tinama ozdobná,Bjergtinamu,Pisaccatinamoe,p?ld-mägitinamu,pyytinami,Tinamou orné,Tinamou orné,Pisaccasteißhuhn,0,Tinamo ornato,??????????,Puo?nusis stepinis tinamas,Fjelltinamu,kusacz ozdobny,Inhambu-adornado,?????????? ??????? ??????,inambu ozdobn?,Tinamú pisacca,tofstinamo
Nothoprocta perdicaria,Nothoprocta perdicaria,Chilean Tinamou,???(??),????(??)?,tinama koroptví,Chiletinamu,Chileense Tinamoe,t?iili mägitinamu,chilentinami,Tinamou perdrix,Tinamou perdrix,Chilesteißhuhn,chilei tinamu,Tinamo del Cile,?????????,?ilinis stepinis tinamas,Chiletinamu,kusacz chilijski,Inhambu-chileno,????????? ??????? ??????,inambu po?n?,Tinamú chileno,chiletinamo
Nothoprocta cinerascens,Nothoprocta cinerascens,Brushland Tinamou,??(??),???(??)?,tinama pok?ovní,M?rkvinget Tinamu,Cordobatinamoe,viir-mägitinamu,pensastinami,Tinamou sauvageon,Tinamou sauvageon,Cordobasteißhuhn,0,Tinamo di macchia,?????????,Kr?myninis stepinis tinamas,Busktinamu,kusacz zaro?lowy,Inhambu-do-chaco,??????? ??????,inambu krovinov?,Tinamú montaraz,busktinamo
Nothoprocta pentlandii,Nothoprocta pentlandii,Andean Tinamou,????(??),?????(??)?,tinama andská,Andestinamu,Andestinamoe,redu-mägitinamu,andientinami,Tinamou des Andes,Tinamou des Andes,Andensteißhuhn,0,Tinamo delle Ande,??????????,Andinis stepinis tinamas,Andestinamu,kusacz andyjski,Inhambu-andino,??????? ??????? ??????,inambu andsk?,Tinamú andino,andinsk tinamo
Nothoprocta curvirostris,Nothoprocta curvirostris,Curve-billed Tinamou,???(??),????(??)?,tinama k?ivozobá,Segln?bbet Tinamu,Krombektinamoe,paramo-mägitinamu,käyränokkatinami,Tinamou curvirostre,Tinamou curvirostre,Krummschnabel-Steißhuhn,0,Tinamo beccocurvo,??????????,Kreivasnapis stepinis tinamas,Krumnebbtinamu,kusacz krzywodzioby,Inhambu-do-páramo,??????????? ??????? ??????,inambu krivozob?,Tinamú del páramo,b?gnäbbad tinamo
Nothura boraquira,Nothura boraquira,White-bellied Nothura,???(??),???(??)?,tinama pastvinná,Hvidbuget Vagteltinamu,Witbuiknothura,kaatinga-triiptinamu,isoviiriäistinami,Tinamou boraquira,Tinamou boraquira,Weißbauch-Steißhuhn,0,Tinamo panciabianca,?????????,Baltapilv? notura,Hvit?yetinamu,kusacz bia?obrzuchy,Codorna-do-nordeste,?????????? ??????,inambu svetlobruch?,Tinamú ventriblanco,vitbukig tinamo
Nothura minor,Nothura minor,Lesser Nothura,??(??),??(??)?,tinama men?í,Vagteltinamu,Kleine Nothura,serrado-triiptinamu,viiriäistinami,Petit Tinamou,Petit Tinamou,Wachtelsteißhuhn,0,Tinamo minore,???????????,Ma?oji notura,Dvergtinamu,kusacz ma?y,Codorna-mineira,????? ??????,inambu mal?,Tinamú menor,sm?tinamo
Nothura darwinii,Nothura darwinii,Darwin's Nothura,????(??),????(??)?,tinama Darwinova,Andesvagteltinamu,Darwins Nothura,n?lva-triiptinamu,darwinintinami,Tinamou de Darwin,Tinamou de Darwin,Darwinsteißhuhn,0,Tinamo di Darwin,???????????,Darvino notura,Darwintinamu,kusacz Darwina,Codorna-de-darwin,?????? ???????,inambu pustatinn?,Tinamú de Darwin,darwintinamo
Nothura maculosa,Nothura maculosa,Spotted Nothura,??(??),??(??)?,tinama skvrnitá,Plettet Vagteltinamu,Gevlekte Nothura,nurm-triiptinamu,viirutinami,Tinamou tacheté,Tinamou tacheté,Fleckensteißhuhn,foltos tinamu,Tinamo macchiato,?????????,D?m?toji notura,Flekktinamu,kusacz kreskowany,Codorna-amarela,????????? ??????,inambu ?iarkov?,Tinamú manchado,fläckig tinamo
Nothura chacoensis,Nothura chacoensis,Chaco Nothura,???(??),???(??)?,tinama pampová,Chacovagteltinamu,Chaconothura,chaco triiptinamu,chacontinami,Tinamou du Chaco,Tinamou du Chaco,Chacosteißhuhn,0,Tinamo del chaco,?????????,?akin? notura,Chacotinamu,kusacz plamisty,Codorna-do-chaco,??????? ??????,inambu ?kvrnit?,Tinamú chaqueño,chacotinamo
Taoniscus nanus,Taoniscus nanus,Dwarf Tinamou,?(??),?(??)?,tinama drobná,Dv?rgtinamu,Dwergtinamoe,värbtinamu,kääpiötinami,Tinamou carapé,Tinamou carapé,Pfauensteißhuhn,0,Tinamo nano,????????,Nyk?tukinis tinamas,Pygmétinamu,kusacz kar?owaty,Inhambu-carapé,?????????? ??????,inambu krpat?,Tinamú enano,dvärgtinamo
Eudromia elegans,Eudromia elegans,Elegant Crested Tinamou,??(??),??(??)?,tinama argentinská,Toptinamu,Kuiftinamoe,tutt-tinamu,töyhtötinami,Tinamou élégant,Tinamou élégant,Perlsteißhuhn,gyöngyös tinamu,Martinetta dal ciuffo,??????????,Pilkasis kuoduotasis tinamas,S?rtopptinamu,kusacz pampasowy,Martineta-elegante,???????? ??????,inambu chochlat?,Martineta común,prakttinamo
Eudromia formosa,Eudromia formosa,Quebracho Crested Tinamou,???(??),????(??)?,tinama chocholatá,Quebracho-toptinamu,Quebrachotinamoe,chaco tutt-tinamu,tummatöyhtötinami,Tinamou superbe,Tinamou superbe,Schmucksteißhuhn,0,Martinetta del quebracho,????????,Gra?usis kuoduotasis tinamas,Nordtopptinamu,kusacz le?ny,Martineta-do-chaco,???????? ???????? ??????,inambu hájov?,Martineta chaqueña,quebrachotinamo
Tinamotis pentlandii,Tinamotis pentlandii,Puna Tinamou,??(??),????(??)?,tinama náhorní,Punatinamu,Punatinamoe,puunatinamu,punantinami,Tinamou quioula,Tinamou quioula,Punasteißhuhn,0,Tinamo della puna,??????????,Paprastasis tinamas,Punatinamu,kuso? andyjski,Qiúla-andina,?????-??????? ??????,inambu ve?k?,Kiula andina,punatinamo
Tinamotis ingoufi,Tinamotis ingoufi,Patagonian Tinamou,??(??),???????(??)?,tinama patagonská,Patagonsk Tinamu,Patagonische Tinamoe,patagoonia tinamu,patagoniantinami,Tinamou de Patagonie,Tinamou de Patagonie,Patagoniensteißhuhn,0,Tinamo di Patagonia,???????????,Patagoninis tinamas,Patagoniatinamu,kuso? patago?ski,Qiúla-patagônica,??????????? ?????-??????? ??????,inambu stepn?,Kiula patagona,patagonientinamo
Struthio camelus,Struthio camelus,Common Ostrich,????,??,p?tros dvouprst?,Masaistruds,Struisvogel,jaanalind,strutsi,Autruche d'Afrique,Autruche d'Afrique,Strauß,strucc,Struzzo,????,"Strutis, afrikinis strutis",Struts,stru? czerwonoskóry,Avestruz,??????????? ??????,p?tros dvojprst?,Avestruz común,struts
Struthio molybdophanes,Struthio molybdophanes,Somali Ostrich,?????,??????,0,Somalistruds,Somalische Struisvogel,somaali jaanalind,0,Autruche de Somalie,Autruche de Somalie,Somalistrauß,szomáliai strucc,Struzzo somalo,????????,0,0,stru? szaroskóry,Avestruz-somali,??????????? ??????,p?tros sivonoh?,Avestruz somalí,somaliastruts
Rhea americana,Rhea americana,Greater Rhea,????,????,nandu pampov?,Nandu,Nandoe,nandu,nandu,Nandou d'Amérique,Nandou d'Amérique,Nandu,nandu,Nandù,??,Amerikinis nandu,Stornandu,nandu szare,Ema,???????????? ?????,nandu pampov?,Ñandú común,större nandu
Rhea pennata,Rhea pennata,Lesser Rhea,????,????,nandu men?í,Lille Nandu,Darwins Nandoe,väikenandu,patagoniannandu,Nandou de Darwin,Nandou de Darwin,Darwinnandu,Darwin-nandu,Nandù minore,???????,Darvino nandu,Fjellnandu,nandu plamiste,Ema-pequena,???????? ?????,nandu ?kvrnit?,Ñandú petiso,mindre nandu
Casuarius casuarius,Casuarius casuarius,Southern Cassowary,????,????,kasuár p?ílbov?,Hjelmkasuar,Helmkasuaris,kiiverkaasuar,kypäräkasuaari,Casoar à casque,Casoar à casque,Helmkasuar,sisakos kazuár,Casuario meridionale,?????,?alminis kazuaras,Toflikkasuar,kazuar he?miasty,Casuar-de-capacete,??????????? ??????,kazuár ve?koprilb?,Casuario común,hjälmkasuar
Casuarius bennetti,Casuarius bennetti,Dwarf Cassowary,???,???,kasuár men?í,Dv?rgkasuar,Dwergkasuaris,väikekaasuar,pikkukasuaari,Casoar de Bennett,Casoar de Bennett,Bennettkasuar,Bennett-kazuár,Casuario nano,??????,Nyk?tukinis kazuaras,Dvergkasuar,kazuar mniejszy,Casuar-an?o,??????-?????,kazuár muruk,Casuario menor,dvärgkasuar
Casuarius unappendiculatus,Casuarius unappendiculatus,Northern Cassowary,????,????,kasuár jednolalo?n?,Nordlig Kasuar,Oranjehalskasuaris,kaeluskaasuar,isokasuaari,Casoar unicaronculé,Casoar unicaronculé,Einlappenkasuar,északi kazuár,Casuario settentrionale,????????,Raudonkaklis kazuaras,Enflikkasuar,kazuar jednokoralowy,Casuar-unicarunculado,?????????????? ??????,kazuár d?ung?ov?,Casuario unicarunculado,enflikig kasuar
Dromaius novaehollandiae,Dromaius novaehollandiae,Emu,??,??,emu hn?d?,Emu,Emoe,emu,emu,Émeu d'Australie,Émeu d'Australie,Emu,emu,Emù,????,Emu,Emu,emu (zwyczajne),Emu,???,emu hned?,Emú,emu
Apteryx australis,Apteryx australis,Southern Brown Kiwi,???,?????,kivi ji?ní,Brun Kiwi,Zuidelijke Bruine Kiwi,pruunkiivi,ruskokiivi,Kiwi austral,Kiwi austral,Südstreifenkiwi,barna kivi,Kiwi bruno meridionale,????,"Paprastasis kivis, rudasis kivis",S?rbrunkivi,kiwi brunatny,Quivi-marrom-da-Ilha-do-Sul,????? ????,kivi ju?n?,Kiwi sureño,sydkivi
Apteryx mantelli,Apteryx mantelli,North Island Brown Kiwi,??????,?????,kivi hn?d?,Nordlig Kiwi,Noordelijke Bruine Kiwi,triipkiivi,0,Kiwi de Mantell,Kiwi de Mantell,Nordstreifenkiwi,északi-szigeti barna kivi,Kiwi bruno settentrionale,0,?iaurinis kivis,Nordbrunkivi,kiwi pó?nocny,Quivi-marrom-da-Ilha-do-Norte,???????? ????,kivi hned?,Kiwi norteño,brun kivi
Apteryx rowi,Apteryx rowi,Okarito Kiwi,???????,???????,0,Okarito Kiwi,Rowi,okarito kiivi,0,Kiwi d'Okarito,Kiwi d'Okarito,Okaritokiwi,okaritói barna kivi,Kiwi bruno di Okarito,0,Okarito mi?ko kivis,Okaritokivi,kiwi szary,Quivi-marrom-de-okarito,????,kivi hodvábny,Kiwi de Okarito,okaritokivi
Apteryx owenii,Apteryx owenii,Little Spotted Kiwi,????,????,kivi Owen?v,Dv?rgkiwi,Kleine Grijze Kiwi,väikekiivi,pikkukiivi,Kiwi d'Owen,Kiwi d'Owen,Zwergkiwi,kis foltos kivi,Kiwi macchiato minore,????????,Ma?asis kivis,Dvergkivi,kiwi ma?y,Quivi-manchado-pequeno,????? ????? ????,kivi pásikav?,Kiwi moteado menor,mindre fläckkivi
Apteryx haastii,Apteryx haastii,Great Spotted Kiwi,????,????,kivi Haast?v,Stor Kiwi,Grote Grijze Kiwi,täpikkiivi,kirjokiivi,Kiwi roa,Kiwi roa,Haastkiwi,nagy foltos kivi,Kiwi macchiato maggiore,?????????,Didysis kivis,Flekkivi,kiwi plamisty,Quivi-manchado-grande,??????? ????? ????,kivi krá?ovsk?,Kiwi moteado mayor,större fläckkivi
Anhima cornuta,Anhima cornuta,Horned Screamer,???,???,kami? r??kat?,Anhima,Anioema,sarvik-ogatiib (sarvik-t?ahha),sarviromisko,Kamichi cornu,Kamichi cornu,Hornwehrvogel,egyszarvú csája,Kaimichi cornuto,???????,Raguotoji pelamed?ja,Horngjeterfugl,skrzyd?oszpon rogaty,Anhuma,??????? ?????????,anhima rohatá,Chajá añuma,hornvärnf?gel
Chauna chavaria,Chauna chavaria,Northern Screamer,????,??????????,?ája b?lolící,Toppet Chaja,Witwanghoenderkoet,tutt-ogatiib (tutt-t?ahha),kolumbianromisko,Kamichi chavaria,Kamichi chavaria,Weißwangen-Wehrvogel,fehérarcú csája,Kaimichi settentrionale,?????????,Juodakakl? pelamed?ja,Svarthalsgjeterfugl,skrzyd?oszpon czarnoszyi,Tach?-do-norte ,??????????? ?????????,?aja chochlatá,Chajá chicagüire,svarthalsad värnf?gel
Chauna torquata,Chauna torquata,Southern Screamer,???,?????????,?ája obojková,Sorthalset Chaja,Kuifhoenderkoet,kaelus-ogatiib (kaelust?ahha),töyhtöromisko,Kamichi à collier,Kamichi à collier,Halsband-Wehrvogel,örvös csája,Kaimichi meridionale,?????????,Kuoduotoji pelamed?ja,Kragegjeterfugl,skrzyd?oszpon obro¿ny,Tach?,???????? ?????????,?aja obojková,Chajá común,tofsvärnf?gel
Anseranas semipalmata,Anseranas semipalmata,Magpie Goose,??,??,husovec strakat?,Skadeg?s,Ekstergans,harakhani,puuhanhi,Canaroie semipalmée,Canaroie semipalmée,Spaltfußgans,ujjas lúd,Oca gazza,??????,An?ia??s?,Skj?reg?s,bezp?etwiec,Ganso-alvinegro,???????????? ????,husiarka strakatá,Ganso urraca,skatg?s
Dendrocygna viduata,Dendrocygna viduata,White-faced Whistling Duck,????,????,husi?ka vdovka,Nonnetr?and,Witwangfluiteend,valgep?sk-vilepart,naamioviheltäjäsorsa,Dendrocygne veuf,Dendrocygne veuf,Witwenpfeifgans,apáca-fütyül?lúd,Dendrocigna facciabianca,????????????,Baltaveid? med??s?,Maskeplystreand,drzewica bia?olica,Irerê,????????? ????????? ????,stromárka bielohlavá,Suirirí cariblanco,vithuvad visseland
