








Frequency of observations in the selected location(s).:
Number of taxa: 	321

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	145.0	123.0	100.0	147.0	96.0	116.0	131.0	100.0	120.0	154.0	161.0	161.0	128.0	122.0	98.0	116.0	79.0	119.0	126.0	120.0	77.0	72.0	105.0	162.0	129.0	80.0	89.0	127.0	121.0	135.0	105.0	135.0	107.0	102.0	91.0	147.0	94.0	95.0	90.0	104.0	98.0	88.0	81.0	99.0	87.0	82.0	81.0	129.0	

Canada Goose (<em class="sci">Branta canadensis</em>)	0.4	0.43089430894308944	0.4	0.4421768707482993	0.4791666666666667	0.46551724137931033	0.4961832061068702	0.6	0.575	0.551948051948052	0.6024844720496895	0.639751552795031	0.6328125	0.5081967213114754	0.5	0.5603448275862069	0.6329113924050633	0.3949579831932773	0.5238095238095238	0.525	0.5064935064935064	0.4583333333333333	0.41904761904761906	0.35802469135802467	0.3488372093023256	0.4	0.48314606741573035	0.47244094488188976	0.4297520661157025	0.48148148148148145	0.42857142857142855	0.4666666666666667	0.45794392523364486	0.47058823529411764	0.5164835164835165	0.4013605442176871	0.48936170212765956	0.5789473684210527	0.3111111111111111	0.4230769230769231	0.5204081632653061	0.4772727272727273	0.4074074074074074	0.41414141414141414	0.3448275862068966	0.4878048780487805	0.38271604938271603	0.4418604651162791	
Swan Goose (Domestic type) x Canada Goose (hybrid) (<em class="sci">Anser cygnoides (Domestic type) x Branta canadensis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006493506493506494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Greylag Goose (Domestic type) x Canada Goose (hybrid) (<em class="sci">Anser anser (Domestic type) x Branta canadensis</em>)	0.027586206896551724	0.032520325203252036	0.0015	0.013605442176870748	0.010416666666666666	0.034482758620689655	0.015267175572519083	0.03	0.016666666666666666	0.032467532467532464	0.024844720496894408	0.006211180124223602	0.0234375	0.0	0.01020408163265306	0.02586206896551724	0.0015	0.0	0.023809523809523808	0.008333333333333333	0.012987012987012988	0.0	0.0015	0.0015	0.0015	0.025	0.011235955056179775	0.007874015748031496	0.008264462809917356	0.022222222222222223	0.0	0.044444444444444446	0.04672897196261682	0.0392156862745098	0.04395604395604396	0.04081632653061224	0.09574468085106383	0.06315789473684211	0.022222222222222223	0.038461538461538464	0.030612244897959183	0.03409090909090909	0.0015	0.030303030303030304	0.011494252873563218	0.012195121951219513	0.037037037037037035	0.031007751937984496	
goose sp. (<em class="sci">Anser/Chen/Branta sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007874015748031496	0.0	0.0	0.0	0.007407407407407408	0.0	0.00980392156862745	0.0015	0.0	0.0	0.010526315789473684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012195121951219513	0.0	0.0	
Mute Swan (<em class="sci">Cygnus olor</em>)	0.3586206896551724	0.5284552845528455	0.41	0.47619047619047616	0.4166666666666667	0.49137931034482757	0.3816793893129771	0.49	0.525	0.5584415584415584	0.5341614906832298	0.6024844720496895	0.5625	0.4344262295081967	0.42857142857142855	0.5086206896551724	0.620253164556962	0.44537815126050423	0.4365079365079365	0.4583333333333333	0.5324675324675324	0.5416666666666666	0.38095238095238093	0.4567901234567901	0.40310077519379844	0.5125	0.550561797752809	0.5275590551181102	0.512396694214876	0.5333333333333333	0.5047619047619047	0.5333333333333333	0.514018691588785	0.5588235294117647	0.6153846153846154	0.5034013605442177	0.574468085106383	0.6736842105263158	0.37777777777777777	0.4230769230769231	0.5408163265306123	0.4659090909090909	0.4567901234567901	0.46464646464646464	0.5057471264367817	0.43902439024390244	0.4074074074074074	0.4263565891472868	
Black Swan (<em class="sci">Cygnus atratus</em>)	0.0015	0.0015	0.0	0.0	0.0015	0.0015	0.0	0.01	0.0	0.0015	0.0	0.0	0.0015	0.0	0.0	0.008620689655172414	0.012658227848101266	0.0	0.007936507936507936	0.0015	0.0015	0.0015	0.0	0.012345679012345678	0.015503875968992248	0.0	0.0	0.0	0.0	0.007407407407407408	0.0015	0.0015	0.0	0.0	0.0	0.0	0.010638297872340425	0.0	0.0015	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Tundra Swan (<em class="sci">Cygnus columbianus</em>)	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0015	
Whooper Swan (<em class="sci">Cygnus cygnus</em>)	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	
swan sp. (<em class="sci">Cygnus sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008403361344537815	0.0	0.0	0.0	0.0	0.0	0.0	0.007751937984496124	0.0	0.0	0.007874015748031496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007751937984496124	
Egyptian Goose (<em class="sci">Alopochen aegyptiaca</em>)	0.07586206896551724	0.13008130081300814	0.11	0.1564625850340136	0.13541666666666666	0.13793103448275862	0.1297709923664122	0.14	0.18333333333333332	0.19480519480519481	0.16770186335403728	0.15527950310559005	0.203125	0.1557377049180328	0.14285714285714285	0.15517241379310345	0.24050632911392406	0.12605042016806722	0.16666666666666666	0.24166666666666667	0.19480519480519481	0.1527777777777778	0.11428571428571428	0.12345679012345678	0.08527131782945736	0.075	0.07865168539325842	0.07874015748031496	0.10743801652892562	0.14814814814814814	0.08571428571428572	0.11851851851851852	0.09345794392523364	0.12745098039215685	0.16483516483516483	0.06802721088435375	0.13829787234042554	0.15789473684210525	0.06666666666666667	0.04807692307692308	0.1836734693877551	0.13636363636363635	0.07407407407407407	0.10101010101010101	0.10344827586206896	0.14634146341463414	0.1111111111111111	0.14728682170542637	
