








Frequency of observations in the selected location(s).:
Number of taxa: 	558

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	3842.0	3066.0	2902.0	3937.0	2898.0	2494.0	3235.0	1824.0	2048.0	2219.0	2354.0	3692.0	3319.0	3708.0	4226.0	4759.0	4184.0	4400.0	4575.0	5408.0	3138.0	2807.0	2738.0	3376.0	2340.0	2128.0	2007.0	2947.0	2170.0	2156.0	2483.0	3544.0	2611.0	2411.0	2531.0	3251.0	2552.0	2768.0	2617.0	3514.0	2483.0	2428.0	2393.0	2744.0	3642.0	2718.0	2601.0	3828.0	

Snow x Ross's Goose (hybrid) (<em class="sci">Chen caerulescens x rossii</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.393743257820927E-4	2.36630383341221E-4	2.101281781886951E-4	2.390057361376673E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9184952978056425E-4	0.0	0.0	2.845759817871372E-4	4.027386226339106E-4	0.0	0.0	3.6443148688046647E-4	0.0	0.0	0.0	0.0	
Brent Goose (<em class="sci">Branta bernicla</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.496176720475786E-4	8.125677139761647E-4	0.0024103645676408557	0.008629989212513484	0.009228584950307619	0.013238075225887791	0.01601338432122371	0.017954545454545456	0.0253551912568306	0.028661242603550297	0.019757807520713832	0.00641254007837549	0.001095690284879474	8.886255924170616E-4	0.0	4.6992481203007516E-4	4.982561036372695E-4	0.0015	0.0	9.276437847866419E-4	0.0	2.821670428893905E-4	0.0011489850631941786	0.0	3.951007506914263E-4	6.151953245155337E-4	0.004702194357366771	0.007586705202312138	0.00573175391669851	0.00597609561752988	0.00644381796214257	0.005766062602965404	0.002089427496865859	3.6443148688046647E-4	8.237232289950577E-4	7.358351729212656E-4	0.0	0.0	
Barnacle Goose (<em class="sci">Branta leucopsis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0012051822838204278	5.393743257820927E-4	4.73260766682442E-4	4.202563563773902E-4	2.390057361376673E-4	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0	7.22543352601156E-4	0.0011463507833397019	2.845759817871372E-4	4.027386226339106E-4	0.0032948929159802307	0.0025073129962390303	0.0015	0.002196595277320154	3.679175864606328E-4	0.0	0.0	
Cackling Goose (<em class="sci">Branta hutchinsii</em>)	7.808433107756377E-4	6.523157208088715E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018026137899954935	0.0055225148683092605	0.0035211267605633804	0.004218137993371497	0.00889967637540453	0.006389020350212968	0.007774742592981719	0.005258126195028681	0.0027272727272727275	8.743169398907104E-4	1.849112426035503E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.821670428893905E-4	0.0	8.295313148071339E-4	0.0031608060055314103	0.0070747462319286376	0.009012539184952978	0.015534682080924855	0.014902560183416125	0.020774046670461014	0.019331453886427707	0.025947281713344317	0.015879648976180525	0.008381924198250729	0.0060406370126304225	0.0029433406916850625	7.689350249903883E-4	7.836990595611285E-4	
Canada Goose (<em class="sci">Branta canadensis</em>)	0.02993232691306611	0.02837573385518591	0.024810475534114404	0.017018034036068073	0.015527950310559006	0.021251002405773857	0.013292117465224112	0.021929824561403508	0.02294921875	0.0878774222622803	0.14061172472387426	0.22074756229685807	0.3157577583609521	0.39428263214670983	0.41528632276384286	0.40092456398403026	0.42495219885277247	0.35613636363636364	0.23912568306010928	0.22374260355029585	0.23135755258126195	0.17420733879586747	0.12271731190650109	0.0811611374407583	0.07991452991452991	0.08693609022556391	0.07922272047832586	0.08720732948761452	0.12995391705069123	0.1456400742115028	0.15424889246878776	0.19441309255079006	0.24243584833397167	0.30609705516383245	0.32516791781904386	0.4072593048292833	0.4067398119122257	0.4046242774566474	0.34352311807413066	0.34746727376209446	0.2968183648811921	0.2911861614497529	0.26410363560384453	0.2303206997084548	0.2029104887424492	0.11295069904341427	0.07650903498654364	0.047021943573667714	
Greater White-fronted x Canada Goose (hybrid) (<em class="sci">Anser albifrons x Branta canadensis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.027386226339106E-4	0.0	0.0	0.0	0.0	3.679175864606328E-4	0.0	0.0	
Greylag Goose (Domestic type) x Canada Goose (hybrid) (<em class="sci">Anser anser (Domestic type) x Branta canadensis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.178854993731718E-4	0.0	0.0	0.0	0.0	0.0	
Snow x Canada Goose (hybrid) (<em class="sci">Chen caerulescens x Branta canadensis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.836990595611285E-4	3.61271676300578E-4	0.0019105846388995033	0.003130335799658509	0.0016109544905356424	0.0012355848434925864	4.178854993731718E-4	0.0	2.745744096650192E-4	0.0	0.0	0.0	
Barnacle x Canada Goose (hybrid) (<em class="sci">Branta leucopsis x canadensis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0129557095510696E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
goose sp. (<em class="sci">Anser/Chen/Branta sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.125677139761647E-4	0.0	2.6968716289104636E-4	0.0	0.0	0.0	2.2727272727272727E-4	0.0	0.0	3.1867431485022306E-4	3.562522265764161E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.027386226339106E-4	0.0	8.357709987463436E-4	0.0	0.0	0.0	0.0	0.0	
Mute Swan (<em class="sci">Cygnus olor</em>)	5.205622071837585E-4	0.0	0.0	0.0	3.450655624568668E-4	0.0	0.0015	5.482456140350877E-4	0.0	0.0015	8.496176720475786E-4	0.0013542795232936078	0.0012051822838204278	0.001348435814455232	4.73260766682442E-4	0.0	7.170172084130019E-4	2.2727272727272727E-4	0.0	5.547337278106509E-4	3.1867431485022306E-4	3.562522265764161E-4	3.652300949598247E-4	2.962085308056872E-4	8.547008547008547E-4	0.0	0.0	0.0015	4.608294930875576E-4	0.0	0.0	5.64334085778781E-4	3.8299502106472615E-4	0.0	0.0	6.151953245155337E-4	0.0	7.22543352601156E-4	0.0015	0.0	0.0	4.1186161449752884E-4	0.0	0.0015	0.0	0.0015	0.0	0.0	
