








Frequency of observations in the selected location(s).:
Number of taxa: 	160

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	6.0	7.0	6.0	5.0	5.0	3.0	8.0	3.0	8.0	9.0	11.0	11.0	5.0	9.0	8.0	9.0	8.0	4.0	5.0	7.0	5.0	1.0	5.0	5.0	9.0	2.0	8.0	6.0	5.0	5.0	5.0	3.0	3.0	6.0	3.0	10.0	4.0	6.0	4.0	3.0	6.0	5.0	3.0	2.0	4.0	5.0	3.0	7.0	

Gadwall (<em class="sci">Anas strepera</em>)	0.6666666666666666	1.0	1.0	0.8	1.0	0.6666666666666666	0.875	0.6666666666666666	0.875	0.7777777777777778	0.5454545454545454	0.9090909090909091	1.0	0.5555555555555556	0.75	0.7777777777777778	0.875	0.75	0.8	1.0	0.8	0.0015	0.8	0.6	0.3333333333333333	0.0	0.375	0.5	0.8	0.6	0.8	1.0	1.0	1.0	1.0	0.9	1.0	1.0	1.0	0.6666666666666666	0.6666666666666666	1.0	1.0	1.0	0.75	0.6	1.0	1.0	
Eurasian Wigeon (<em class="sci">Anas penelope</em>)	0.6666666666666666	1.0	1.0	1.0	0.8	0.3333333333333333	1.0	0.6666666666666666	1.0	0.8888888888888888	0.8181818181818182	1.0	0.8	0.4444444444444444	0.5	0.4444444444444444	0.625	0.25	0.2	0.42857142857142855	0.0	0.0	0.2	0.0	0.0	0.0	0.125	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.6666666666666666	1.0	1.0	1.0	0.75	1.0	0.8333333333333334	0.6	1.0	1.0	1.0	0.8	1.0	1.0	
Mallard (<em class="sci">Anas platyrhynchos</em>)	0.8333333333333334	1.0	1.0	1.0	0.8	0.6666666666666666	1.0	0.6666666666666666	1.0	0.8888888888888888	1.0	1.0	1.0	0.8888888888888888	0.75	1.0	0.875	0.75	1.0	1.0	1.0	0.0015	1.0	1.0	0.7777777777777778	0.5	1.0	1.0	0.6	1.0	1.0	1.0	1.0	1.0	1.0	0.9	1.0	1.0	0.75	1.0	0.8333333333333334	0.8	1.0	1.0	1.0	1.0	1.0	1.0	
Mallard (Domestic type) (<em class="sci">Anas platyrhynchos (Domestic type)</em>)	0.0	0.14285714285714285	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.125	0.1111111111111111	0.09090909090909091	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.5	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.16666666666666666	0.0	0.0	0.0	0.3333333333333333	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Northern Shoveler (<em class="sci">Anas clypeata</em>)	0.8333333333333334	1.0	1.0	1.0	0.8	0.6666666666666666	1.0	0.6666666666666666	1.0	1.0	0.8181818181818182	1.0	1.0	0.5555555555555556	0.625	0.5555555555555556	0.625	0.0	0.2	0.5714285714285714	0.4	0.0015	0.6	0.6	0.3333333333333333	0.5	0.5	0.6666666666666666	0.6	0.8	1.0	1.0	1.0	1.0	1.0	0.9	1.0	0.8333333333333334	1.0	1.0	0.6666666666666666	0.8	1.0	1.0	1.0	0.8	1.0	1.0	
Northern Pintail (<em class="sci">Anas acuta</em>)	0.5	0.7142857142857143	1.0	0.6	0.6	0.0	0.625	0.6666666666666666	0.625	0.2222222222222222	0.09090909090909091	0.09090909090909091	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.3	0.25	0.16666666666666666	0.25	0.3333333333333333	0.3333333333333333	0.6	0.3333333333333333	0.5	1.0	0.6	0.6666666666666666	0.42857142857142855	
Garganey (<em class="sci">Anas querquedula</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.2222222222222222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.16666666666666666	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Eurasian/American Green-winged Teal (<em class="sci">Anas crecca</em>)	0.8333333333333334	1.0	1.0	0.8	1.0	0.6666666666666666	1.0	0.6666666666666666	1.0	1.0	0.9090909090909091	1.0	1.0	0.6666666666666666	0.625	0.6666666666666666	0.125	0.0	0.2	0.14285714285714285	0.4	1.0	0.8	1.0	0.4444444444444444	0.5	0.25	0.8333333333333334	0.6	0.8	0.6	1.0	1.0	1.0	1.0	0.9	1.0	1.0	0.75	1.0	0.8333333333333334	0.8	1.0	1.0	1.0	1.0	1.0	0.7142857142857143	
Red-crested Pochard (<em class="sci">Netta rufina</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.25	0.0	0.0015	0.0	0.0	0.2	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	
Common Pochard (<em class="sci">Aythya ferina</em>)	0.8333333333333334	0.8571428571428571	1.0	0.8	0.8	0.3333333333333333	0.75	0.3333333333333333	1.0	0.8888888888888888	0.6363636363636364	0.8181818181818182	1.0	0.7777777777777778	0.875	0.7777777777777778	0.875	0.75	1.0	0.8571428571428571	0.8	1.0	1.0	0.8	0.5555555555555556	1.0	0.5	0.6666666666666666	0.6	0.8	1.0	1.0	0.6666666666666666	0.6666666666666666	0.6666666666666666	0.3	0.5	0.5	0.5	1.0	0.5	0.8	1.0	1.0	0.75	0.6	1.0	0.8571428571428571	
Tufted Duck (<em class="sci">Aythya fuligula</em>)	0.8333333333333334	1.0	1.0	1.0	0.8	0.6666666666666666	1.0	0.6666666666666666	1.0	1.0	0.9090909090909091	1.0	1.0	0.7777777777777778	0.875	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.8333333333333334	1.0	0.9	1.0	0.8333333333333334	0.75	1.0	0.8333333333333334	0.8	1.0	1.0	1.0	1.0	1.0	0.8571428571428571	
Greater Scaup (<em class="sci">Aythya marila</em>)	0.0015	0.14285714285714285	0.16666666666666666	0.2	0.0	0.0	0.0	0.0	0.125	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	
Common Goldeneye (<em class="sci">Bucephala clangula</em>)	0.0	0.0015	0.0	0.0015	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6666666666666666	0.0015	0.25	0.0015	0.0	0.0	
Smew (<em class="sci">Mergellus albellus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Common Merganser (<em class="sci">Mergus merganser</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	
