








Frequency of observations in the selected location(s).:
Number of taxa: 	697

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	3569.0	2127.0	1993.0	2352.0	1674.0	1592.0	1801.0	1672.0	1793.0	1761.0	1844.0	2417.0	1893.0	2017.0	2087.0	2548.0	2361.0	2238.0	2048.0	2705.0	1713.0	1610.0	1598.0	2173.0	1917.0	1672.0	1787.0	2537.0	1713.0	1709.0	1849.0	2472.0	1894.0	1829.0	1630.0	2016.0	1605.0	1768.0	1827.0	2032.0	1240.0	1181.0	1167.0	1457.0	1115.0	1023.0	1030.0	2227.0	

Lesser White-fronted Goose (<em class="sci">Anser erythropus</em>)	5.603810591202018E-4	0.0015	0.0	0.0017006802721088435	0.0	0.0	0.001110494169905608	0.0011961722488038277	5.577244841048522E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.84251968503937E-4	0.0	0.0	8.56898029134533E-4	0.0	0.0	9.775171065493646E-4	0.0	0.0	
Greylag Goose (<em class="sci">Anser anser</em>)	0.09218268422527319	0.11142454160789844	0.09834420471650777	0.09863945578231292	0.1003584229390681	0.10804020100502512	0.1110494169905608	0.11961722488038277	0.12325711098717233	0.13287904599659284	0.14696312364425163	0.12867190732312783	0.1421024828314844	0.11650966782350025	0.11931001437470053	0.1259811616954474	0.13638288860652267	0.11974977658623771	0.1240234375	0.10388170055452865	0.12259194395796848	0.09440993788819876	0.0851063829787234	0.08651633686148182	0.06885758998435054	0.08014354066985646	0.08226077224398433	0.09578242018131651	0.1091652072387624	0.10766530134581627	0.10167658193618172	0.08211974110032362	0.10348468848996832	0.07709130672498633	0.07177914110429448	0.09176587301587301	0.10841121495327102	0.09049773755656108	0.0810071154898741	0.08218503937007875	0.10725806451612903	0.09737510584250635	0.10025706940874037	0.10157858613589568	0.10762331838565023	0.09775171065493646	0.07961165048543689	0.09384822631342614	
Greylag Goose (Domestic type) (<em class="sci">Anser anser (Domestic type)</em>)	2.801905295601009E-4	9.402914903620122E-4	0.0015052684395383843	8.503401360544217E-4	0.0	0.0018844221105527637	0.001110494169905608	0.0011961722488038277	0.0016731734523145567	0.0017035775127768314	0.0010845986984815619	4.137360364087712E-4	0.0	0.0	4.791566842357451E-4	0.0	0.0	4.4682752457551384E-4	4.8828125E-4	3.696857670979667E-4	0.0011675423234092236	0.0018633540372670807	6.257822277847309E-4	4.601932811780948E-4	0.001564945226917058	0.0017942583732057417	5.595970900951316E-4	0.0	0.0011675423234092236	5.851375073142189E-4	0.0037858301784748512	0.0016181229773462784	0.0021119324181626186	5.467468562055768E-4	0.0015	4.96031746031746E-4	0.0	5.656108597285068E-4	0.0	9.84251968503937E-4	0.0016129032258064516	0.001693480101608806	0.002570694087403599	0.0	8.968609865470852E-4	0.002932551319648094	0.001941747572815534	0.001347103726986978	
Bar-headed Goose (<em class="sci">Anser indicus</em>)	0.0	0.0	0.0	4.2517006802721087E-4	0.0	0.0	0.0	0.0	0.0	0.0	5.422993492407809E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	5.837711617046118E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Domestic goose sp. (Domestic type) (<em class="sci">Anser sp. (Domestic type)</em>)	0.0	0.0	0.0	4.2517006802721087E-4	5.973715651135006E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Emperor Goose (<em class="sci">Chen canagica</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.921259842519685E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Snow Goose (<em class="sci">Chen caerulescens</em>)	8.405715886803026E-4	0.0015	0.002007024586051179	8.503401360544217E-4	5.973715651135006E-4	0.0018844221105527637	0.001110494169905608	0.0023923444976076554	5.577244841048522E-4	5.678591709256105E-4	0.0010845986984815619	8.274720728175424E-4	5.282620179609086E-4	0.0019831432821021317	0.0015	3.924646781789639E-4	8.470986869970351E-4	0.0	0.0	0.0014787430683918669	0.0011675423234092236	6.211180124223603E-4	0.0	0.0	0.0	0.0	0.0	0.0	5.837711617046118E-4	5.851375073142189E-4	0.0	4.045307443365696E-4	0.0	5.467468562055768E-4	6.134969325153375E-4	9.92063492063492E-4	0.0012461059190031153	0.0015	5.473453749315818E-4	0.0014763779527559055	0.0015	0.002540220152413209	8.56898029134533E-4	0.0013726835964310226	8.968609865470852E-4	0.002932551319648094	0.001941747572815534	0.001796138302649304	
Ross's Goose (<em class="sci">Chen rossii</em>)	2.801905295601009E-4	0.0	0.0010035122930255895	4.2517006802721087E-4	0.0	6.28140703517588E-4	0.0	0.0	0.0	0.0	0.0	0.0	5.282620179609086E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	5.473453749315818E-4	0.0	0.0	8.46740050804403E-4	0.001713796058269066	0.0015	0.0015	0.0019550342130987292	0.0	0.0	
Brent Goose (<em class="sci">Branta bernicla</em>)	0.05771924908938078	0.04372355430183357	0.05469141996989463	0.050595238095238096	0.04659498207885305	0.04648241206030151	0.04608550805108273	0.05263157894736842	0.049079754601226995	0.033503691084611015	0.03579175704989154	0.03806371534960695	0.025356576862123614	0.02181457610312345	0.014374700527072353	0.013736263736263736	0.019483269800931808	0.0160857908847185	0.01708984375	0.004805914972273568	0.004086398131932283	0.0018633540372670807	0.0018773466833541927	0.0018407731247123793	0.0020865936358894104	0.0011961722488038277	0.002238388360380526	0.0027591643673630273	0.002918855808523059	0.0023405500292568754	0.003244997295835587	0.0016181229773462784	0.006335797254487857	0.009294696555494806	0.015337423312883436	0.040674603174603176	0.038006230529595016	0.04751131221719457	0.05747126436781609	0.06496062992125984	0.06129032258064516	0.05927180355630821	0.05227077977720651	0.04392587508579272	0.051121076233183856	0.03519061583577713	0.035922330097087375	0.057476425684777725	
Barnacle Goose (<em class="sci">Branta leucopsis</em>)	0.015970860184925748	0.023977433004231313	0.02007024586051179	0.02040816326530612	0.02090800477897252	0.01821608040201005	0.02387562465297057	0.02631578947368421	0.02509760178471835	0.01192504258943782	0.01843817787418655	0.011998345055854365	0.017432646592709985	0.013882002974714923	0.011499760421657882	0.011773940345368918	0.017789072426937738	0.012957998212689902	0.00927734375	0.0073937153419593345	0.00642148277875073	0.003105590062111801	0.008135168961201502	0.005982512655315232	0.004173187271778821	0.00777511961722488	0.003357582540570789	0.005124162396531336	0.0099241097489784	0.007021650087770626	0.011357490535424553	0.006067961165048544	0.01583949313621964	0.0065609622744669215	0.007975460122699387	0.011408730158730158	0.024299065420560748	0.023755656108597284	0.014778325123152709	0.013779527559055118	0.017741935483870968	0.02286198137171888	0.015424164524421594	0.008236101578586136	0.01883408071748879	0.017595307917888565	0.008737864077669903	0.018410417602155366	
Cackling Goose (<em class="sci">Branta hutchinsii</em>)	2.801905295601009E-4	0.0014104372355430183	0.0010035122930255895	4.2517006802721087E-4	5.973715651135006E-4	6.28140703517588E-4	0.0	5.980861244019139E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	
Canada Goose (<em class="sci">Branta canadensis</em>)	0.13813393107312974	0.1617301363422661	0.14701455092824886	0.15858843537414966	0.15471923536439666	0.18404522613065327	0.18933925596890616	0.20035885167464115	0.21751254880089235	0.22941510505394663	0.21691973969631237	0.1911460488208523	0.2039091389329107	0.16757560733763013	0.19357930043124102	0.1813186813186813	0.17450232952138925	0.14745308310991956	0.16064453125	0.1430683918669131	0.14419147694103912	0.12173913043478261	0.12265331664580725	0.11734928670041417	0.10589462702138759	0.10885167464114832	0.12199216564073867	0.1344107213243989	0.14535901926444833	0.15272088940901113	0.14548404542996216	0.13673139158576053	0.16156282998944033	0.1268452706396938	0.1147239263803681	0.12698412698412698	0.13333333333333333	0.11821266968325791	0.0963327859879584	0.1279527559055118	0.16532258064516128	0.1676545300592718	0.14395886889460155	0.13726835964310227	0.13452914798206278	0.1710654936461388	0.13883495145631067	0.13650651100134711	
