








Frequency of observations in the selected location(s).:
Number of taxa: 	292

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Tundra Swan (<em class="sci">Cygnus columbianus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10526315789473684	0.0	
Whooper Swan (<em class="sci">Cygnus cygnus</em>)	0.0	0.05	0.0	0.0	0.0	0.08695652173913043	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.07142857142857142	0.0	0.0	0.0	
swan sp. (<em class="sci">Cygnus sp.</em>)	0.058823529411764705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05263157894736842	0.0	
Egyptian Goose (<em class="sci">Alopochen aegyptiaca</em>)	0.0	0.0	0.0	0.0	0.0	0.08695652173913043	0.0	0.0	0.05263157894736842	0.0	0.0	0.0	0.0	0.0	0.0	0.029411764705882353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05263157894736842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Ruddy Shelduck (<em class="sci">Tadorna ferruginea</em>)	0.0	0.05	0.0	0.05	0.0	0.08695652173913043	0.0	0.08333333333333333	0.05263157894736842	0.0	0.0	0.0	0.0	0.0	0.0	0.058823529411764705	0.047619047619047616	0.05	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.041666666666666664	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.1111111111111111	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Common Shelduck (<em class="sci">Tadorna tadorna</em>)	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.10526315789473684	0.0	0.0	0.1111111111111111	0.0	0.0	0.1111111111111111	0.058823529411764705	0.047619047619047616	0.0	0.06666666666666667	0.12903225806451613	0.06666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07692307692307693	0.0	0.0	0.0	0.038461538461538464	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07142857142857142	0.0	0.0	0.0	
Mandarin Duck (<em class="sci">Aix galericulata</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	
Gadwall (<em class="sci">Anas strepera</em>)	0.23529411764705882	0.4	0.3	0.35	0.5625	0.34782608695652173	0.29411764705882354	0.4166666666666667	0.3684210526315789	0.09523809523809523	0.14285714285714285	0.1111111111111111	0.0	0.0	0.0	0.14705882352941177	0.09523809523809523	0.2	0.2	0.0967741935483871	0.06666666666666667	0.15384615384615385	0.0	0.1	0.0	0.0	0.0	0.0	0.041666666666666664	0.15384615384615385	0.25	0.14814814814814814	0.10526315789473684	0.15384615384615385	0.3076923076923077	0.14285714285714285	0.2222222222222222	0.25	0.2	0.3125	0.0	1.0	0.2	0.42857142857142855	0.5714285714285714	0.5	0.47368421052631576	0.1875	
Eurasian Wigeon (<em class="sci">Anas penelope</em>)	0.058823529411764705	0.1	0.1	0.0015	0.0	0.17391304347826086	0.0	0.16666666666666666	0.15789473684210525	0.047619047619047616	0.0	0.0	0.0	0.0	0.0	0.029411764705882353	0.047619047619047616	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07692307692307693	0.07692307692307693	0.03571428571428571	0.2222222222222222	0.15	0.05	0.0	0.0	0.0	0.0	0.07142857142857142	0.07142857142857142	0.0	0.0	0.0	
Mallard (<em class="sci">Anas platyrhynchos</em>)	0.5294117647058824	0.5	0.5	0.7	0.6875	0.7391304347826086	0.7058823529411765	0.5	0.5789473684210527	0.5238095238095238	0.7142857142857143	0.3333333333333333	0.18181818181818182	0.38461538461538464	0.7777777777777778	0.6764705882352942	0.42857142857142855	0.75	0.6	0.7419354838709677	0.6	0.6923076923076923	0.23809523809523808	0.65	0.4444444444444444	0.45454545454545453	0.5	0.5789473684210527	0.375	0.38461538461538464	0.75	0.4074074074074074	0.6842105263157895	0.5769230769230769	0.6923076923076923	0.6428571428571429	0.6666666666666666	0.8	0.6	0.5625	0.4	1.0	0.5	0.7857142857142857	0.7857142857142857	0.5	0.8421052631578947	0.375	
