








Frequency of observations in the selected location(s).:
Number of taxa: 	386

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	88.0	61.0	69.0	106.0	65.0	72.0	71.0	62.0	39.0	71.0	77.0	148.0	101.0	85.0	100.0	145.0	93.0	75.0	82.0	104.0	60.0	60.0	65.0	96.0	98.0	85.0	97.0	104.0	76.0	76.0	79.0	147.0	98.0	132.0	98.0	115.0	85.0	65.0	80.0	106.0	52.0	59.0	64.0	66.0	51.0	59.0	50.0	113.0	

Canada Goose (<em class="sci">Branta canadensis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0015	0.0	0.0	0.0	0.006896551724137931	0.0	0.013333333333333334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013157894736842105	0.0	0.006802721088435374	0.0	0.0	0.0	0.0	0.0	0.0	0.0125	0.0	0.019230769230769232	0.0	0.0	0.015151515151515152	0.0	0.0	0.0	0.0	
goose sp. (<em class="sci">Anser/Chen/Branta sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.014084507042253521	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008695652173913044	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Mute Swan (<em class="sci">Cygnus olor</em>)	0.4318181818181818	0.45901639344262296	0.37681159420289856	0.4528301886792453	0.36923076923076925	0.4444444444444444	0.4647887323943662	0.43548387096774194	0.3333333333333333	0.4225352112676056	0.36363636363636365	0.2905405405405405	0.2079207920792079	0.3411764705882353	0.36	0.38620689655172413	0.3548387096774194	0.3333333333333333	0.2926829268292683	0.41346153846153844	0.3	0.26666666666666666	0.15384615384615385	0.375	0.2755102040816326	0.24705882352941178	0.30927835051546393	0.25961538461538464	0.2631578947368421	0.19736842105263158	0.21518987341772153	0.24489795918367346	0.22448979591836735	0.24242424242424243	0.25510204081632654	0.3652173913043478	0.32941176470588235	0.4307692307692308	0.4625	0.37735849056603776	0.3269230769230769	0.3389830508474576	0.296875	0.5	0.49019607843137253	0.2542372881355932	0.44	0.34513274336283184	
Tundra Swan (<em class="sci">Cygnus columbianus</em>)	0.011363636363636364	0.03278688524590164	0.0	0.009433962264150943	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.04	0.0015	
Whooper Swan (<em class="sci">Cygnus cygnus</em>)	0.03409090909090909	0.01639344262295082	0.014492753623188406	0.018867924528301886	0.015384615384615385	0.027777777777777776	0.028169014084507043	0.11290322580645161	0.0	0.014084507042253521	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011764705882352941	0.0	0.0125	0.018867924528301886	0.019230769230769232	0.0	0.0	0.015151515151515152	0.0196078431372549	0.0	0.0	0.008849557522123894	
swan sp. (<em class="sci">Cygnus sp.</em>)	0.022727272727272728	0.01639344262295082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016666666666666666	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009433962264150943	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	
Egyptian Goose (<em class="sci">Alopochen aegyptiaca</em>)	0.0	0.0	0.0	0.02830188679245283	0.03076923076923077	0.027777777777777776	0.0	0.0	0.0	0.028169014084507043	0.0	0.013513513513513514	0.019801980198019802	0.0	0.01	0.020689655172413793	0.010752688172043012	0.02666666666666667	0.012195121951219513	0.0	0.0015	0.0	0.015384615384615385	0.020833333333333332	0.01020408163265306	0.023529411764705882	0.0	0.019230769230769232	0.0	0.013157894736842105	0.012658227848101266	0.0	0.0	0.007575757575757576	0.0	0.008695652173913044	0.011764705882352941	0.0	0.025	0.03773584905660377	0.019230769230769232	0.01694915254237288	0.015625	0.0	0.0196078431372549	0.0	0.0	0.008849557522123894	
Ruddy Shelduck (<em class="sci">Tadorna ferruginea</em>)	0.056818181818181816	0.09836065573770492	0.028985507246376812	0.04716981132075472	0.046153846153846156	0.041666666666666664	0.07042253521126761	0.11290322580645161	0.15384615384615385	0.14084507042253522	0.07792207792207792	0.06756756756756757	0.0297029702970297	0.07058823529411765	0.04	0.027586206896551724	0.043010752688172046	0.013333333333333334	0.024390243902439025	0.057692307692307696	0.05	0.03333333333333333	0.015384615384615385	0.041666666666666664	0.0	0.023529411764705882	0.041237113402061855	0.04807692307692308	0.09210526315789473	0.06578947368421052	0.0379746835443038	0.027210884353741496	0.02040816326530612	0.05303030303030303	0.061224489795918366	0.043478260869565216	0.10588235294117647	0.07692307692307693	0.075	0.09433962264150944	0.057692307692307696	0.03389830508474576	0.0625	0.06060606060606061	0.0196078431372549	0.01694915254237288	0.0015	0.017699115044247787	
Common Shelduck (<em class="sci">Tadorna tadorna</em>)	0.03409090909090909	0.03278688524590164	0.028985507246376812	0.02830188679245283	0.12307692307692308	0.013888888888888888	0.04225352112676056	0.06451612903225806	0.10256410256410256	0.056338028169014086	0.025974025974025976	0.06756756756756757	0.07920792079207921	0.058823529411764705	0.07	0.020689655172413793	0.06451612903225806	0.013333333333333334	0.012195121951219513	0.057692307692307696	0.03333333333333333	0.0	0.0	0.0	0.0	0.011764705882352941	0.030927835051546393	0.028846153846153848	0.02631578947368421	0.05263157894736842	0.012658227848101266	0.027210884353741496	0.0	0.03787878787878788	0.02040816326530612	0.008695652173913044	0.047058823529411764	0.015384615384615385	0.0625	0.05660377358490566	0.0	0.05084745762711865	0.03125	0.0	0.058823529411764705	0.0	0.0	0.008849557522123894	
Mandarin Duck (<em class="sci">Aix galericulata</em>)	0.0	0.0	0.014492753623188406	0.018867924528301886	0.015384615384615385	0.0	0.014084507042253521	0.016129032258064516	0.0	0.0	0.0	0.0	0.009900990099009901	0.011764705882352941	0.02	0.006896551724137931	0.0	0.013333333333333334	0.012195121951219513	0.028846153846153848	0.0	0.0	0.0	0.020833333333333332	0.0	0.0	0.0	0.0015	0.0015	0.013157894736842105	0.0	0.006802721088435374	0.0	0.015151515151515152	0.0	0.0015	0.011764705882352941	0.0	0.025	0.0	0.0	0.03389830508474576	0.0	0.015151515151515152	0.0015	0.0	0.0	0.0	
Gadwall (<em class="sci">Anas strepera</em>)	0.17045454545454544	0.19672131147540983	0.2318840579710145	0.16037735849056603	0.3076923076923077	0.2222222222222222	0.22535211267605634	0.3709677419354839	0.2564102564102564	0.2676056338028169	0.16883116883116883	0.14864864864864866	0.07920792079207921	0.08235294117647059	0.15	0.09655172413793103	0.11827956989247312	0.10666666666666667	0.07317073170731707	0.08653846153846154	0.06666666666666667	0.03333333333333333	0.015384615384615385	0.041666666666666664	0.0	0.011764705882352941	0.020618556701030927	0.019230769230769232	0.07894736842105263	0.11842105263157894	0.0759493670886076	0.10204081632653061	0.05102040816326531	0.09090909090909091	0.14285714285714285	0.09565217391304348	0.1411764705882353	0.18461538461538463	0.1625	0.2358490566037736	0.09615384615384616	0.11864406779661017	0.109375	0.22727272727272727	0.23529411764705882	0.1694915254237288	0.26	0.1504424778761062	
Eurasian Wigeon (<em class="sci">Anas penelope</em>)	0.09090909090909091	0.06557377049180328	0.15942028985507245	0.02830188679245283	0.07692307692307693	0.08333333333333333	0.08450704225352113	0.14516129032258066	0.1282051282051282	0.1267605633802817	0.03896103896103896	0.06756756756756757	0.039603960396039604	0.03529411764705882	0.04	0.013793103448275862	0.03225806451612903	0.04	0.012195121951219513	0.009615384615384616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013157894736842105	0.0	0.0	0.0	0.02040816326530612	0.03787878787878788	0.02040816326530612	0.017391304347826087	0.10588235294117647	0.09230769230769231	0.075	0.14150943396226415	0.11538461538461539	0.0847457627118644	0.015625	0.045454545454545456	0.0784313725490196	0.01694915254237288	0.02	0.035398230088495575	
Mallard (<em class="sci">Anas platyrhynchos</em>)	0.48863636363636365	0.5245901639344263	0.6376811594202898	0.5660377358490566	0.5846153846153846	0.5277777777777778	0.6056338028169014	0.5967741935483871	0.4358974358974359	0.676056338028169	0.6493506493506493	0.581081081081081	0.39603960396039606	0.5882352941176471	0.57	0.6068965517241379	0.5591397849462365	0.5466666666666666	0.45121951219512196	0.5865384615384616	0.5166666666666667	0.35	0.2153846153846154	0.46875	0.29591836734693877	0.2823529411764706	0.3402061855670103	0.3269230769230769	0.2894736842105263	0.3684210526315789	0.3037974683544304	0.3333333333333333	0.42857142857142855	0.38636363636363635	0.3673469387755102	0.4782608695652174	0.4470588235294118	0.676923076923077	0.575	0.6037735849056604	0.5192307692307693	0.4915254237288136	0.578125	0.7272727272727273	0.7058823529411765	0.4915254237288136	0.64	0.5132743362831859	
Mallard (Domestic type) (<em class="sci">Anas platyrhynchos (Domestic type)</em>)	0.0	0.01639344262295082	0.028985507246376812	0.009433962264150943	0.0	0.0	0.014084507042253521	0.0	0.0	0.0	0.012987012987012988	0.0	0.0	0.0	0.0	0.013793103448275862	0.010752688172043012	0.013333333333333334	0.0015	0.009615384615384616	0.016666666666666666	0.0	0.0	0.0	0.01020408163265306	0.0	0.0	0.0	0.013157894736842105	0.0	0.012658227848101266	0.013605442176870748	0.0	0.007575757575757576	0.0	0.0	0.023529411764705882	0.0	0.0	0.009433962264150943	0.0	0.01694915254237288	0.015625	0.015151515151515152	0.0	0.0	0.0	0.008849557522123894	
Northern Shoveler (<em class="sci">Anas clypeata</em>)	0.06818181818181818	0.04918032786885246	0.057971014492753624	0.04716981132075472	0.13846153846153847	0.06944444444444445	0.056338028169014086	0.16129032258064516	0.1282051282051282	0.09859154929577464	0.06493506493506493	0.13513513513513514	0.1188118811881188	0.16470588235294117	0.1	0.041379310344827586	0.07526881720430108	0.02666666666666667	0.04878048780487805	0.04807692307692308	0.05	0.016666666666666666	0.0	0.03125	0.0	0.011764705882352941	0.030927835051546393	0.038461538461538464	0.0	0.039473684210526314	0.0379746835443038	0.06802721088435375	0.05102040816326531	0.10606060606060606	0.09183673469387756	0.05217391304347826	0.08235294117647059	0.1076923076923077	0.1375	0.16981132075471697	0.09615384615384616	0.1016949152542373	0.0625	0.10606060606060606	0.058823529411764705	0.0015	0.04	0.08849557522123894	
